Reference,Value,Footprint
"C1,C2,C3",1000uf,Capacitor_SMD:CP_Elec_10x10.5
"C4,C5",100uf,Capacitor_SMD:CP_Elec_6.3x5.4
D1,PWR,LED_SMD:LED_0402_1005Metric
D2,HBT,LED_SMD:LED_0402_1005Metric
D3,L-Connect,LED_SMD:LED_0402_1005Metric
D4,R-Connect,LED_SMD:LED_0402_1005Metric
J1,POWER_IN,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical
J2,WS2812_Tip1,Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical
J3,WS2812_Tip2,Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical
J4,APA102_Strip,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical
J5,Haptic_DRV1,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical
J6,Haptic_DRV2,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical
J7,Pogo_Male,Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical
J8,Pogo_Female,Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical
"R1,R2,R3,R4",220,Resistor_SMD:R_0805_2012Metric
R5,1000,Resistor_SMD:R_0402_1005Metric
"R6,R7,R8",330,Resistor_SMD:R_0402_1005Metric
