Ref,Val,Package,PosX,PosY,Rot,Side
C1,1000uf,CP_Elec_10x10.5,149,-129,0,top
C2,1000uf,CP_Elec_10x10.5,85.25,-129.75,90,top
C3,1000uf,CP_Elec_10x10.5,148.4,-117.4,0,top
C4,100uf,CP_Elec_6.3x5.4,84.75,-117.75,90,top
C5,100uf,CP_Elec_6.3x5.4,168.75,-118.55,-90,top
D1,PWR,LED_0402_1005Metric,71.2,-113.25,0,top
D2,HBT,LED_0402_1005Metric,118.765,-113.75,180,top
J1,POWER_IN,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,65.25,-117.25,90,top
J2,WS2812_Tip1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,75.5,-129,-90,top
J3,WS2812_Tip2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,158.75,-119.75,90,top
J4,APA102_Strip,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,159.225,-133.5,90,top
J5,Haptic_DRV1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,76.525,-115,-90,top
J6,Haptic_DRV2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,177,-122.75,90,top
J7,Pogo_Male,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,65.25,-133.75,90,top
J8,Pogo_Female,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,177.75,-131,180,top
D3,L-Connect,LED_0402_1005Metric,115.5,-113.75,180,top
R5,1000,R_0402_1005Metric,71.2,-114.5,180,top
R1,220,R_0805_2012Metric,140.19,-126,0,top
R2,220,R_0805_2012Metric,140.19,-130.5,0,top
R3,220,R_0805_2012Metric,125.6,-114,180,top
R4,220,R_0805_2012Metric,140.19,-121.5,0,top
R6,330,R_0402_1005Metric,118.75,-114.75,180,top
R7,330,R_0402_1005Metric,115.5,-114.75,180,top
R8,330,R_0402_1005Metric,112,-114.75,180,top
D4,R-Connect,LED_0402_1005Metric,112,-113.75,180,top
